Name;Activations;Fulfilments;Violations;Vacuous Fulfilments;Vacuous Violations
CFA;48;43;5;3;0
CG;41;37;4;2;0
CGA;27;26;1;4;0
CH;27;27;0;3;0
CHA;34;32;2;1;0
CI;34;33;1;2;0
CIA;22;22;0;8;0
CJ;58;45;13;3;0
CJA;26;26;0;6;0
CK;22;22;0;8;0
CKA;43;36;7;2;0
CL;20;17;3;8;1
CLA;26;23;3;4;0
CM;40;37;3;3;0
CMA;26;25;1;4;0
CN;28;28;0;3;0
CNA;48;43;5;5;0
CO;26;20;6;4;0
CP;38;36;2;3;0
CQ;34;29;5;2;0
CR;44;40;4;1;0
CS;25;24;1;5;0
CT;33;31;2;2;0
CU;31;30;1;4;0
CV;33;32;1;2;0
CW;39;34;5;2;0
CX;38;35;3;3;0
CY;75;59;16;2;0
CZ;87;67;20;2;0
D;34;33;1;1;0
DA;32;30;2;3;0
DAA;43;39;4;2;0
DB;33;31;2;2;0
DBA;36;34;2;2;0
DC;31;31;0;1;0
DCA;34;32;2;1;0
DD;24;24;0;6;0
DDA;45;42;3;2;0
DE;22;22;0;8;0
DEA;36;34;2;2;0
DF;22;20;2;8;0
DFA;30;29;1;6;0
DG;33;31;2;2;0
DGA;46;42;4;3;0
DH;41;37;4;2;0
DHA;25;25;0;7;0
DI;33;31;2;2;0
DIA;22;22;0;8;0
DJ;53;44;9;0;0
DJA;26;26;0;4;0
DK;34;30;4;1;0
DKA;35;32;3;1;0
DL;31;29;2;2;0
DLA;26;23;3;4;0
DM;26;23;3;4;0
DMA;17;10;7;9;2
DN;22;22;0;8;0
DNA;26;25;1;4;0
DO;40;37;3;1;0
DP;38;35;3;2;0
DQ;26;25;1;4;0
DR;39;36;3;2;0
DS;39;36;3;2;0
DT;26;26;0;5;0
DU;27;26;1;3;0
DV;26;25;1;4;0
DW;34;32;2;2;0
DX;35;28;7;2;0
DY;37;34;3;2;0
DZ;72;57;15;1;0
E;26;26;0;4;0
EA;37;35;2;1;0
EAA;39;36;3;6;0
EB;26;25;1;4;0
EBA;32;31;1;2;0
EC;46;41;5;2;0
ECA;46;39;7;1;0
ED;82;65;17;1;0
EDA;31;30;1;1;0
EE;24;24;0;6;0
EEA;34;33;1;1;0
EF;38;33;5;2;0
EFA;23;23;0;7;0
EG;22;20;2;8;0
EGA;34;32;2;2;0
EH;28;27;1;2;0
EHA;69;55;14;1;0
EI;35;33;2;3;0
EIA;31;30;1;1;0
EJ;32;29;3;3;0
EJA;27;21;6;3;0
EK;46;38;8;2;0
EKA;38;36;2;2;0
EL;37;35;2;2;0
ELA;51;42;9;2;0
EM;66;54;12;0;0
EMA;44;41;3;1;0
EN;26;25;1;4;0
ENA;22;22;0;8;0
EO;39;37;2;1;0
EP;26;25;1;4;0
EQ;76;65;11;1;0
ER;26;26;0;4;0
ES;118;86;32;0;0
ET;28;27;1;2;0
EU;37;35;2;1;0
EV;31;29;2;4;0
EW;59;52;7;2;0
EX;56;47;9;2;0
EY;35;31;4;4;0
EZ;23;23;0;7;0
F;28;27;1;2;0
FA;26;23;3;4;0
FAA;41;38;3;1;0
FB;26;26;0;4;0
FBA;30;29;1;5;0
FC;24;24;0;6;0
FCA;39;37;2;1;0
FD;32;30;2;4;0
FDA;45;41;4;1;0
FE;46;41;5;4;0
FEA;28;26;2;2;0
FF;26;25;1;4;0
FFA;17;10;7;9;2
FG;30;30;0;2;0
FGA;32;30;2;3;0
FH;35;33;2;2;0
FHA;35;33;2;2;0
FI;26;25;1;4;0
FIA;32;28;4;6;0
FJ;34;32;2;1;0
FJA;43;39;4;2;0
FK;45;42;3;2;0
FKA;31;30;1;5;0
FL;27;26;1;3;0
FLA;22;20;2;8;0
FM;44;37;7;3;0
FMA;31;21;10;1;0
FN;54;43;11;3;0
FNA;27;26;1;3;0
FO;62;48;14;1;0
FP;24;23;1;6;0
FQ;24;22;2;6;0
FR;27;26;1;3;0
FS;23;23;0;7;0
FT;84;65;19;2;0
FU;35;33;2;5;0
FV;26;26;0;4;0
FW;50;45;5;1;0
FX;44;40;4;2;0
FY;42;38;4;1;0
FZ;46;41;5;1;0
G;33;32;1;2;0
GA;33;32;1;2;0
GAA;43;39;4;2;0
GB;34;30;4;1;0
GBA;29;28;1;1;0
GC;33;32;1;2;0
GCA;37;34;3;1;0
GD;37;34;3;3;0
GDA;26;26;0;5;0
GE;39;37;2;2;0
GEA;38;35;3;2;0
GF;137;106;31;0;0
GFA;28;27;1;2;0
GG;51;44;7;4;0
GGA;26;25;1;4;0
GH;26;24;2;4;0
GHA;36;35;1;2;0
GI;34;29;5;3;0
GIA;25;25;0;5;0
GJ;48;41;7;0;0
GJA;46;42;4;1;0
GK;221;165;56;2;0
GKA;23;23;0;7;0
GL;39;36;3;2;0
GLA;38;36;2;3;0
GM;33;32;1;3;0
GMA;37;35;2;6;0
GN;96;72;24;1;0
GNA;57;45;12;1;0
GO;47;40;7;1;0
GP;28;26;2;2;0
GQ;29;28;1;3;0
GR;22;22;0;8;0
GS;44;40;4;7;0
GT;57;51;6;4;0
GU;43;37;6;2;0
GV;37;35;2;3;0
GW;32;27;5;4;0
GX;38;31;7;3;0
GY;34;32;2;2;0
GZ;22;22;0;8;0
H;33;32;1;5;0
HA;31;29;2;5;0
HAA;51;43;8;2;0
HB;39;36;3;2;0
HBA;38;35;3;2;0
HC;22;22;0;8;0
HCA;26;26;0;4;0
HD;70;51;19;1;0
HDA;31;31;0;1;0
HE;43;40;3;2;0
HEA;49;44;5;1;0
HF;34;33;1;2;0
HFA;26;25;1;4;0
HG;39;36;3;2;0
HGA;41;37;4;2;0
HH;33;31;2;2;0
HHA;40;37;3;1;0
HI;26;26;0;4;0
HIA;40;38;2;1;0
HJ;40;37;3;2;0
HJA;34;32;2;2;0
HK;27;26;1;3;0
HKA;49;43;6;3;0
HL;39;36;3;1;0
HLA;40;37;3;1;0
HM;41;34;7;7;0
HMA;17;10;7;9;2
HN;45;41;4;1;0
HNA;70;57;13;2;0
HO;64;56;8;2;0
HP;31;30;1;5;0
HQ;34;32;2;2;0
HR;28;28;0;2;0
HS;101;77;24;1;0
HT;38;35;3;2;0
HU;17;10;7;9;2
HV;43;37;6;2;0
HW;27;21;6;8;0
HX;28;27;1;2;0
HY;39;36;3;1;0
HZ;52;44;8;1;0
I;32;31;1;3;0
IA;26;25;1;4;0
IAA;26;26;0;4;0
IB;37;32;5;2;0
IBA;32;32;0;2;0
IC;32;28;4;1;0
ICA;22;22;0;8;0
ID;17;10;7;9;2
IDA;33;31;2;1;0
IE;24;24;0;6;0
IEA;34;31;3;1;0
IF;45;38;7;2;0
IFA;26;25;1;4;0
IG;56;46;10;6;0
IGA;40;37;3;1;0
IH;41;35;6;1;0
IHA;43;39;4;2;0
II;34;31;3;1;0
IIA;35;34;1;2;0
IJ;40;34;6;2;0
IJA;32;30;2;3;0
IK;23;23;0;7;0
IKA;26;24;2;4;0
IL;35;34;1;2;0
ILA;30;29;1;1;0
IM;89;67;22;1;0
IMA;22;20;2;8;0
IN;32;30;2;3;0
INA;17;10;7;9;2
IO;42;39;3;1;0
IP;41;38;3;2;0
IQ;34;32;2;1;0
IR;31;25;6;4;0
IS;60;54;6;2;0
IT;40;37;3;1;0
IU;39;37;2;2;0
IV;26;23;3;4;0
IW;36;32;4;2;0
IX;26;25;1;4;0
IY;45;42;3;1;0
IZ;24;24;0;6;0
J;30;29;1;2;0
JA;35;30;5;2;0
JAA;68;54;14;7;0
JB;26;25;1;4;0
JBA;26;24;2;4;0
JC;39;37;2;1;0
JCA;45;41;4;2;0
JD;35;30;5;1;0
JDA;26;23;3;4;0
JE;40;38;2;1;0
JEA;27;26;1;3;0
JF;26;25;1;4;0
JFA;25;25;0;5;0
JG;36;34;2;2;0
JGA;25;25;0;5;0
JH;30;26;4;1;0
JHA;25;20;5;6;1
JI;26;26;0;4;0
JIA;30;25;5;5;0
JJ;33;31;2;2;0
JJA;27;27;0;5;0
JK;64;48;16;1;0
JKA;34;32;2;3;0
JL;28;27;1;2;0
JLA;66;57;9;2;0
JM;35;33;2;6;0
JMA;44;36;8;2;0
JN;33;31;2;2;0
JNA;17;10;7;9;2
JO;30;29;1;1;0
JP;22;22;0;8;0
JQ;48;41;7;3;0
JR;41;38;3;1;0
JS;100;86;14;3;0
JT;38;35;3;3;0
JU;41;36;5;2;0
JV;39;37;2;2;0
JW;40;37;3;1;0
JX;41;34;7;1;0
JY;47;41;6;1;0
JZ;31;29;2;4;0
K;40;37;3;1;0
KA;43;40;3;2;0
KAA;19;12;7;7;2
KB;29;29;0;1;0
KBA;39;36;3;2;0
KC;35;34;1;2;0
KCA;32;28;4;3;0
KD;39;30;9;0;0
KDA;17;10;7;9;2
KE;40;38;2;1;0
KEA;26;25;1;4;0
KF;39;36;3;2;0
KFA;37;35;2;1;0
KG;43;36;7;2;0
KGA;23;23;0;7;0
KH;33;32;1;2;0
KHA;28;26;2;2;0
KI;40;37;3;1;0
KIA;35;34;1;2;0
KJ;28;27;1;3;0
KJA;22;11;11;8;0
KK;38;35;3;2;0
KKA;35;33;2;1;0
KL;22;20;2;8;0
KLA;39;35;4;2;0
KM;350;240;110;0;0
KMA;52;46;6;3;0
KN;35;28;7;2;0
KNA;39;36;3;2;0
KO;43;39;4;2;0
KP;28;24;4;2;0
KQ;32;30;2;5;0
KR;27;26;1;3;0
KS;53;49;4;1;0
KT;34;32;2;2;0
KU;26;26;0;4;0
KV;25;23;2;5;0
KW;32;31;1;1;0
KX;67;43;24;4;1
KY;22;22;0;8;0
KZ;42;34;8;2;0
L;40;36;4;1;0
LA;22;22;0;8;0
LAA;26;26;0;4;0
LB;48;43;5;3;0
LBA;48;44;4;3;0
LC;53;48;5;2;0
LCA;26;25;1;4;0
LD;38;35;3;2;0
LDA;39;37;2;2;0
LE;32;31;1;3;0
LEA;74;58;16;2;0
LF;22;22;0;8;0
LFA;28;27;1;2;0
LG;85;64;21;1;0
LGA;27;22;5;3;0
LH;49;44;5;6;0
LHA;34;33;1;2;0
LI;35;33;2;1;0
LIA;73;61;12;0;0
LJ;71;59;12;3;0
LJA;26;25;1;4;0
LK;33;31;2;2;0
LKA;62;54;8;1;0
LL;59;52;7;2;0
LLA;22;22;0;8;0
LM;83;67;16;1;0
LMA;22;19;3;6;1
LN;39;37;2;1;0
LNA;17;10;7;9;2
LO;26;25;1;4;0
LP;48;39;9;3;0
LQ;49;42;7;1;0
LR;33;31;2;2;0
LS;40;37;3;1;0
LT;66;49;17;2;0
LU;34;32;2;1;0
LV;53;47;6;7;0
LW;38;32;6;2;0
LX;36;31;5;2;0
LY;17;10;7;9;2
LZ;51;37;14;1;0
M;17;10;7;9;2
MA;38;35;3;2;0
MAA;40;37;3;5;0
MB;17;10;7;9;2
MBA;30;30;0;2;0
MC;37;34;3;1;0
MCA;22;22;0;8;0
MD;39;35;4;1;0
MDA;33;30;3;3;0
ME;39;36;3;1;0
MEA;54;49;5;2;0
MF;17;10;7;9;2
MFA;34;32;2;1;0
MG;25;24;1;8;0
MGA;32;31;1;3;0
MH;22;22;0;8;0
MHA;33;32;1;1;0
MI;26;25;1;4;0
MIA;34;33;1;1;0
MJ;35;33;2;3;0
MJA;29;27;2;6;0
MK;65;54;11;0;0
MKA;112;85;27;1;0
ML;67;56;11;0;0
MLA;22;22;0;8;0
MM;60;50;10;6;0
MMA;26;24;2;4;0
MN;78;56;22;3;0
MO;28;26;2;2;0
MP;52;44;8;1;0
MQ;41;38;3;2;0
MR;30;27;3;2;0
MS;38;35;3;1;0
MT;31;29;2;1;0
MU;38;36;2;2;0
MV;41;38;3;2;0
MW;72;61;11;3;0
MX;33;31;2;2;0
MY;23;23;0;7;0
MZ;38;35;3;2;0
N;33;31;2;2;0
NA;61;53;8;3;0
NAA;17;10;7;9;2
NB;52;47;5;2;0
NBA;22;22;0;8;0
NC;25;24;1;5;0
NCA;42;39;3;1;0
ND;42;38;4;2;0
NDA;36;35;1;1;0
NE;22;22;0;8;0
NEA;126;102;24;2;0
NF;72;63;9;3;0
NFA;26;25;1;4;0
NG;23;23;0;7;0
NGA;416;307;109;2;0
NH;34;32;2;1;0
NHA;29;28;1;2;0
NI;39;35;4;1;0
NIA;34;32;2;1;0
NJ;35;33;2;1;0
NJA;40;34;6;2;0
NK;47;44;3;2;0
NKA;28;26;2;2;0
NL;23;23;0;7;0
NLA;22;22;0;8;0
NM;36;35;1;1;0
NMA;51;43;8;2;0
NN;37;35;2;3;0
NO;34;32;2;2;0
NP;41;38;3;1;0
NQ;22;22;0;8;0
NR;48;44;4;3;0
NS;23;23;0;7;0
NT;44;41;3;2;0
NU;51;46;5;2;0
NV;30;28;2;2;0
NW;45;41;4;2;0
NX;34;32;2;3;0
NY;26;25;1;4;0
NZ;126;89;37;0;0
O;29;29;0;1;0
OA;32;31;1;4;0
OAA;82;63;19;2;0
OB;43;38;5;2;0
OBA;36;34;2;5;0
OC;52;46;6;0;0
OCA;22;22;0;8;0
OD;244;167;77;3;0
ODA;58;52;6;3;0
OE;17;10;7;9;2
OEA;49;43;6;2;0
OF;17;10;7;9;2
OFA;25;18;7;5;0
OG;26;26;0;5;0
OGA;34;32;2;2;0
OH;40;37;3;1;0
OHA;35;33;2;2;0
OI;23;23;0;7;0
OIA;39;36;3;2;0
OJ;56;43;13;2;0
OJA;17;10;7;9;2
OK;50;44;6;1;0
OKA;33;31;2;2;0
OL;35;33;2;5;0
OLA;31;30;1;1;0
OM;46;42;4;1;0
OMA;59;44;15;0;0
ON;39;36;3;2;0
OO;32;30;2;3;0
OP;26;25;1;4;0
OQ;34;33;1;3;0
OR;50;43;7;0;0
OS;31;30;1;1;0
OT;40;37;3;1;0
OU;35;31;4;1;0
OV;27;24;3;3;0
OW;43;39;4;2;0
OX;36;35;1;1;0
OY;46;42;4;6;0
OZ;31;30;1;4;0
P;17;10;7;9;2
PA;23;23;0;7;0
PAA;26;25;1;4;0
PB;42;38;4;1;0
PBA;28;28;0;3;0
PC;22;22;0;8;0
PCA;30;29;1;6;0
PD;29;25;4;4;0
PDA;40;37;3;2;0
PE;26;26;0;4;0
PEA;28;27;1;2;0
PF;39;36;3;2;0
PFA;47;40;7;1;0
PG;34;29;5;1;0
PGA;50;40;10;0;0
PH;26;20;6;4;0
PHA;26;25;1;4;0
PI;30;29;1;2;0
PIA;107;81;26;0;0
PJ;46;39;7;3;0
PJA;26;26;0;4;0
PK;60;52;8;1;0
PKA;39;35;4;2;0
PL;23;17;6;7;0
PLA;62;55;7;1;0
PM;26;24;2;4;0
PMA;38;35;3;2;0
PN;25;22;3;8;0
PO;37;34;3;3;0
PP;22;22;0;8;0
PQ;19;12;7;7;2
PR;39;35;4;7;0
PS;28;27;1;2;0
PT;34;32;2;2;0
PU;95;81;14;3;0
PV;35;33;2;1;0
PW;32;31;1;2;0
PX;22;22;0;8;0
PY;26;25;1;4;0
PZ;38;35;3;3;0
Q;17;10;7;9;2
QA;37;34;3;3;0
QAA;37;34;3;3;0
QB;42;38;4;1;0
QBA;78;64;14;1;0
QC;40;37;3;2;0
QCA;39;36;3;2;0
QD;32;30;2;4;0
QDA;28;27;1;5;0
QE;51;46;5;0;0
QEA;25;19;6;5;0
QF;40;37;3;1;0
QFA;24;24;0;6;0
QG;34;32;2;1;0
QGA;25;24;1;5;0
QH;58;46;12;6;0
QHA;38;36;2;2;0
QI;26;26;0;5;0
QIA;40;38;2;1;0
QJ;38;36;2;2;0
QJA;29;24;5;4;0
QK;45;38;7;4;0
QKA;37;35;2;1;0
QL;23;23;0;7;0
QLA;25;20;5;5;0
QM;33;31;2;2;0
QMA;46;40;6;2;0
QN;42;39;3;2;0
QO;34;32;2;1;0
QP;44;40;4;2;0
QQ;29;28;1;3;0
QR;22;22;0;8;0
QS;33;31;2;2;0
QT;32;30;2;3;0
QU;46;42;4;1;0
QV;27;27;0;3;0
QW;35;33;2;1;0
QX;69;55;14;3;0
QY;35;30;5;5;0
QZ;30;28;2;3;0
R;22;22;0;8;0
RA;17;10;7;9;2
RAA;40;37;3;2;0
RB;24;24;0;6;0
RBA;37;35;2;3;0
RC;33;32;1;2;0
RCA;36;34;2;1;0
RD;25;24;1;5;0
RDA;26;25;1;4;0
RE;26;26;0;4;0
REA;23;23;0;7;0
RF;27;27;0;3;0
RFA;27;25;2;3;0
RG;82;73;9;4;0
RGA;38;35;3;2;0
RH;23;19;4;8;1
RHA;29;28;1;6;0
RI;40;37;3;1;0
RIA;34;32;2;2;0
RJ;25;24;1;5;0
RJA;26;25;1;4;0
RK;41;38;3;2;0
RKA;30;29;1;5;0
RL;24;24;0;6;0
RLA;56;50;6;3;0
RM;24;22;2;6;0
RN;52;46;6;3;0
RO;45;35;10;3;0
RP;42;37;5;6;0
RQ;26;26;0;4;0
RR;29;28;1;1;0
RS;28;27;1;2;0
RT;29;29;0;1;0
RU;81;59;22;2;0
RV;17;10;7;9;2
RW;39;37;2;2;0
RX;22;22;0;8;0
RY;54;44;10;1;0
RZ;37;35;2;3;0
S;45;41;4;0;0
SA;36;35;1;1;0
SAA;33;31;2;7;0
SB;34;34;0;1;0
SBA;35;33;2;2;0
SC;27;27;0;4;0
SCA;40;36;4;0;0
SD;38;35;3;2;0
SDA;38;35;3;2;0
SE;28;28;0;2;0
SEA;28;28;0;2;0
SF;30;28;2;1;0
SFA;44;37;7;1;0
SG;22;20;2;8;0
SGA;39;32;7;3;0
SH;33;31;2;2;0
SHA;43;40;3;1;0
SI;46;43;3;2;0
SIA;26;20;6;4;0
SJ;41;38;3;1;0
SJA;33;32;1;2;0
SK;79;68;11;2;0
SKA;17;10;7;9;2
SL;40;37;3;1;0
SLA;63;56;7;2;0
SM;89;72;17;0;0
SMA;43;40;3;2;0
SN;26;25;1;4;0
SO;41;38;3;1;0
SP;17;10;7;9;2
SQ;36;33;3;7;0
SR;35;34;1;2;0
SS;34;32;2;1;0
ST;41;39;2;1;0
SU;27;26;1;3;0
SV;27;26;1;3;0
SW;46;40;6;2;0
SX;50;45;5;2;0
SY;35;34;1;1;0
SZ;26;19;7;4;0
T;27;27;0;3;0
TA;31;30;1;6;0
TAA;48;43;5;2;0
TB;26;26;0;4;0
TBA;33;32;1;2;0
TC;54;43;11;0;0
TCA;54;48;6;1;0
TD;39;33;6;3;0
TDA;28;28;0;2;0
TE;22;20;2;8;0
TEA;34;32;2;2;0
TF;47;42;5;6;0
TFA;23;21;2;7;0
TG;32;30;2;3;0
TGA;39;37;2;2;0
TH;33;31;2;2;0
THA;33;29;4;2;0
TI;55;49;6;6;0
TIA;43;39;4;6;0
TJ;39;36;3;1;0
TJA;73;61;12;2;0
TK;22;22;0;8;0
TKA;34;32;2;2;0
TL;44;41;3;2;0
TLA;26;25;1;4;0
TM;25;24;1;5;0
TMA;28;27;1;2;0
TN;61;48;13;1;0
TO;69;50;19;0;0
TP;39;36;3;2;0
TQ;39;37;2;1;0
TR;24;24;0;6;0
TS;52;46;6;3;0
TT;22;22;0;8;0
TU;51;46;5;6;0
TV;44;40;4;1;0
TW;56;48;8;1;0
TX;39;37;2;1;0
TY;17;10;7;9;2
TZ;26;26;0;4;0
U;35;31;4;7;0
UA;29;28;1;2;0
UAA;22;22;0;8;0
UB;27;27;0;3;0
UBA;39;36;3;1;0
UC;70;55;15;0;0
UCA;22;22;0;8;0
UD;73;65;8;2;0
UDA;77;63;14;2;0
UE;49;45;4;2;0
UEA;17;10;7;9;2
UF;64;52;12;1;0
UFA;26;23;3;4;0
UG;26;25;1;4;0
UGA;40;37;3;3;0
UH;17;10;7;9;2
UHA;22;22;0;8;0
UI;38;35;3;2;0
UIA;35;31;4;2;0
UJ;41;38;3;1;0
UJA;26;26;0;4;0
UK;47;43;4;4;0
UKA;42;36;6;2;0
UL;25;19;6;5;0
ULA;39;34;5;2;0
UM;29;26;3;4;0
UMA;38;33;5;2;0
UN;22;22;0;8;0
UO;24;24;0;6;0
UP;29;28;1;2;0
UQ;32;31;1;4;0
UR;38;35;3;3;0
US;39;36;3;2;0
UT;33;28;5;2;0
UU;22;19;3;6;1
UV;39;36;3;1;0
UW;37;32;5;1;0
UX;26;26;0;4;0
UY;27;21;6;3;0
UZ;32;30;2;3;0
V;48;40;8;0;0
VA;34;32;2;2;0
VAA;47;41;6;0;0
VB;34;32;2;2;0
VBA;22;20;2;8;0
VC;35;34;1;2;0
VCA;39;37;2;1;0
VD;29;22;7;2;0
VDA;34;33;1;1;0
VE;46;39;7;2;0
VEA;26;25;1;4;0
VF;34;32;2;2;0
VFA;42;38;4;2;0
VG;43;40;3;4;0
VGA;26;24;2;4;0
VH;22;22;0;8;0
VHA;22;22;0;8;0
VI;44;42;2;1;0
VIA;84;65;19;1;0
VJ;34;32;2;2;0
VJA;17;10;7;9;2
VK;50;42;8;2;0
VKA;36;34;2;3;0
VL;38;35;3;2;0
VLA;26;26;0;4;0
VM;42;38;4;3;0
VMA;17;10;7;9;2
VN;64;53;11;0;0
VO;54;46;8;1;0
VP;38;35;3;3;0
VQ;32;30;2;3;0
VR;39;34;5;2;0
VS;42;39;3;2;0
VT;40;34;6;2;0
VU;38;35;3;2;0
VV;22;22;0;8;0
VW;35;31;4;1;0
VX;22;22;0;8;0
VY;44;39;5;2;0
VZ;25;24;1;8;0
W;30;30;0;2;0
WA;23;19;4;6;1
WAA;33;30;3;2;0
WB;22;22;0;8;0
WBA;32;32;0;5;0
WC;30;28;2;1;0
WCA;48;43;5;1;0
WD;17;10;7;9;2
WDA;76;63;13;1;0
WE;40;33;7;3;0
WEA;25;24;1;5;0
WF;51;43;8;1;0
WFA;34;33;1;1;0
WG;38;35;3;2;0
WGA;78;60;18;1;0
WH;22;22;0;8;0
WHA;33;32;1;2;0
WI;27;27;0;5;0
WIA;22;20;2;8;0
WJA;46;42;4;3;0
WK;26;14;12;4;0
WKA;41;36;5;2;0
WL;28;20;8;6;0
WLA;38;36;2;5;0
WM;42;38;4;1;0
WMA;22;22;0;8;0
WN;59;51;8;2;0
WO;45;41;4;1;0
WP;40;37;3;1;0
WQ;34;32;2;1;0
WR;47;38;9;3;0
WS;23;23;0;7;0
WT;46;41;5;1;0
WU;39;33;6;2;0
WV;38;35;3;2;0
WW;42;37;5;0;0
WX;26;25;1;4;0
WY;17;10;7;9;2
WZ;59;52;7;2;0
X;34;33;1;4;0
XA;17;10;7;9;2
XAA;34;29;5;2;0
XB;28;27;1;3;0
XBA;60;45;15;0;0
XC;26;26;0;4;0
XCA;79;63;16;0;0
XD;28;26;2;2;0
XDA;23;23;0;7;0
XE;26;26;0;4;0
XEA;33;31;2;2;0
XF;31;30;1;2;0
XFA;45;39;6;3;0
XG;26;25;1;4;0
XGA;39;33;6;1;0
XH;57;50;7;2;0
XHA;33;31;2;3;0
XI;84;62;22;0;0
XIA;22;22;0;8;0
XJ;35;32;3;1;0
XJA;53;48;5;2;0
XK;23;23;0;7;0
XKA;34;33;1;1;0
XL;37;34;3;1;0
XLA;26;25;1;4;0
XM;45;41;4;1;0
XMA;17;10;7;9;2
XN;40;34;6;1;0
XO;26;26;0;4;0
XP;35;32;3;2;0
XQ;35;33;2;1;0
XR;24;17;7;6;0
XS;53;48;5;2;0
XT;47;42;5;1;0
XU;26;26;0;4;0
XV;26;23;3;4;0
XW;43;39;4;2;0
XX;32;27;5;3;0
XY;34;32;2;1;0
XZ;39;33;6;3;0
Y;26;26;0;4;0
YA;23;23;0;7;0
YAA;33;31;2;2;0
YB;39;36;3;2;0
YBA;38;35;3;2;0
YC;30;24;6;5;0
YCA;32;31;1;3;0
YD;26;25;1;4;0
YDA;34;33;1;1;0
YE;34;32;2;2;0
YEA;28;27;1;2;0
YF;66;54;12;1;0
YFA;33;32;1;2;0
YG;77;64;13;3;0
YGA;35;33;2;1;0
YH;24;24;0;6;0
YHA;43;38;5;2;0
YI;38;35;3;2;0
YIA;124;100;24;0;0
YJ;35;33;2;6;0
YJA;33;29;4;2;0
YK;44;41;3;1;0
YKA;115;91;24;1;0
YL;45;41;4;1;0
YLA;138;107;31;3;0
YM;34;31;3;1;0
YMA;30;29;1;5;0
YN;27;17;10;8;0
YO;68;59;9;2;0
YP;75;61;14;3;0
YQ;33;31;2;2;0
YR;44;41;3;2;0
YS;55;46;9;0;0
YT;42;39;3;1;0
YU;17;10;7;9;2
YV;54;49;5;1;0
YW;31;30;1;6;0
YX;171;119;52;1;0
YY;48;39;9;2;0
YZ;37;33;4;1;0
Z;27;27;0;4;0
ZA;26;26;0;4;0
ZAA;38;36;2;2;0
ZB;42;38;4;1;0
ZBA;30;27;3;2;0
ZC;28;18;10;4;0
ZCA;27;26;1;4;0
ZD;24;24;0;6;0
ZDA;42;36;6;0;0
ZE;43;38;5;3;0
ZEA;42;37;5;0;0
ZF;35;34;1;2;0
ZFA;34;32;2;1;0
ZG;27;26;1;3;0
ZGA;74;64;10;1;0
ZH;33;32;1;2;0
ZHA;59;49;10;0;0
ZI;47;43;4;2;0
ZIA;26;25;1;4;0
ZJ;41;39;2;2;0
ZJA;61;53;8;2;0
ZK;32;30;2;3;0
ZKA;40;36;4;1;0
ZL;34;33;1;1;0
ZLA;29;29;0;1;0
ZM;71;63;8;2;0
ZMA;149;111;38;2;0
ZN;22;22;0;8;0
