Name;Activations;Fulfilments;Violations;Vacuous Fulfilments;Vacuous Violations
LK;32;31;1;2;0
LKA;55;54;1;1;0
LL;52;52;0;2;0
LLA;23;21;2;7;0
LM;73;67;6;1;0
LMA;23;18;5;5;1
LN;37;37;0;1;0
LNA;19;10;9;7;2
LO;26;25;1;4;0
LP;44;39;5;3;0
LQ;46;42;4;1;0
LR;32;31;1;2;0
LS;37;37;0;1;0
LT;60;49;11;2;0
LU;33;32;1;1;0
LV;48;46;2;6;0
LW;37;33;4;2;0
LX;34;31;3;2;0
LY;19;10;9;7;2
LZ;46;37;9;1;0
M;19;10;9;7;2
MA;36;35;1;2;0
MAA;38;37;1;4;0
MB;19;10;9;7;2
MBA;30;30;0;2;0
MC;35;34;1;1;0
MCA;23;21;2;7;0
MD;37;35;2;1;0
MDA;32;30;2;3;0
ME;37;36;1;1;0
MEA;49;49;0;2;0
MF;19;10;9;7;2
MFA;33;32;1;1;0
MG;25;23;2;7;0
MGA;31;31;0;3;0
MH;23;21;2;7;0
MHA;33;32;1;1;0
MI;26;25;1;4;0
MIA;33;33;0;1;0
MJ;34;33;1;3;0
MJA;28;26;2;6;0
MK;58;54;4;0;0
MKA;98;84;14;1;0
ML;60;56;4;0;0
MLA;23;21;2;7;0
MM;51;49;2;5;0
MMA;26;24;2;4;0
MN;68;56;12;2;0
MO;28;26;2;2;0
MP;48;44;4;1;0
MQ;39;38;1;2;0
MR;30;27;3;2;0
MS;36;35;1;1;0
MT;31;29;2;1;0
MU;36;36;0;2;0
MV;39;38;1;2;0
MW;64;61;3;3;0
MX;32;31;1;2;0
MY;24;23;1;6;0
MZ;36;35;1;2;0
N;32;31;1;2;0
NA;53;53;0;3;0
NAA;19;10;9;7;2
NB;48;47;1;2;0
NBA;23;21;2;7;0
NC;25;23;2;5;0
NCA;40;39;1;1;0
ND;39;38;1;2;0
NDA;35;35;0;1;0
NE;23;21;2;7;0
NEA;106;101;5;2;0
NF;64;62;2;3;0
NFA;26;25;1;4;0
NG;24;23;1;6;0
NGA;343;307;36;2;0
NH;33;32;1;1;0
NHA;29;28;1;2;0
NI;37;35;2;1;0
NIA;33;32;1;1;0
NJ;34;33;1;1;0
NJA;38;34;4;2;0
NK;44;44;0;2;0
NKA;28;26;2;2;0
NL;24;23;1;6;0
NLA;23;21;2;7;0
NM;36;35;1;1;0
NMA;47;43;4;2;0
NN;35;34;1;3;0
NO;33;32;1;2;0
NP;39;38;1;1;0
NQ;23;21;2;7;0
NR;44;44;0;3;0
NS;24;23;1;6;0
NT;41;41;0;2;0
NU;47;46;1;2;0
NV;30;28;2;2;0
NW;42;41;1;2;0
NX;33;32;1;3;0
NY;26;25;1;4;0
NZ;110;89;21;0;0
O;29;29;0;1;0
OA;31;31;0;4;0
OAA;73;63;10;2;0
OB;40;38;2;2;0
OBA;35;34;1;4;0
OC;48;45;3;0;0
OCA;23;21;2;7;0
OD;207;167;40;3;0
ODA;52;52;0;3;0
OE;19;10;9;7;2
OEA;45;43;2;2;0
OF;19;10;9;7;2
OFA;25;18;7;5;0
OG;27;26;1;4;0
OGA;33;32;1;2;0
OH;38;37;1;1;0
OHA;34;33;1;2;0
OI;24;23;1;6;0
OIA;37;36;1;2;0
OJ;51;43;8;2;0
OJA;19;10;9;7;2
OK;45;44;1;1;0
OKA;32;31;1;2;0
OL;34;32;2;4;0
OLA;31;30;1;1;0
OM;43;42;1;1;0
OMA;54;44;10;0;0
ON;37;36;1;2;0
OO;31;30;1;3;0
OP;26;25;1;4;0
OQ;33;33;0;3;0
OR;47;42;5;0;0
OS;31;30;1;1;0
OT;38;37;1;1;0
OU;34;31;3;1;0
OV;27;24;3;3;0
OW;40;39;1;2;0
OX;35;35;0;1;0
OY;43;41;2;5;0
OZ;30;30;0;4;0
P;19;10;9;7;2
PA;24;23;1;6;0
PAA;26;25;1;4;0
PB;39;38;1;1;0
PBA;28;28;0;3;0
PC;23;21;2;7;0
PCA;30;29;1;5;0
PD;28;24;4;4;0
PDA;38;37;1;2;0
PE;26;26;0;4;0
PEA;28;27;1;2;0
PF;37;36;1;2;0
PFA;44;40;4;1;0
PG;33;29;4;1;0
PGA;47;40;7;0;0
PH;26;20;6;4;0
PHA;26;25;1;4;0
PI;30;29;1;2;0
PIA;90;81;9;0;0
PJ;43;39;4;3;0
PJA;26;26;0;4;0
PK;53;52;1;1;0
PKA;37;35;2;2;0
PL;24;17;7;6;0
PLA;56;55;1;1;0
PM;26;24;2;4;0
PMA;36;35;1;2;0
PN;25;21;4;7;0
PO;35;34;1;3;0
PP;23;21;2;7;0
PQ;21;12;9;5;2
PR;37;35;2;6;0
PS;28;27;1;2;0
PT;33;32;1;2;0
PU;82;81;1;3;0
PV;34;33;1;1;0
PW;32;31;1;2;0
PX;23;21;2;7;0
PY;26;25;1;4;0
PZ;36;35;1;3;0
Q;19;10;9;7;2
QA;35;34;1;3;0
QAA;35;34;1;3;0
QB;39;38;1;1;0
QBA;69;64;5;1;0
QC;38;37;1;2;0
QCA;37;36;1;2;0
QD;31;30;1;4;0
QDA;28;26;2;4;0
QE;47;46;1;0;0
QEA;25;19;6;5;0
QF;38;37;1;1;0
QFA;25;24;1;5;0
QG;33;32;1;1;0
QGA;25;24;1;5;0
QH;51;45;6;5;0
QHA;36;36;0;2;0
QI;27;26;1;4;0
QIA;38;38;0;1;0
QJ;36;36;0;2;0
QJA;28;24;4;4;0
QK;42;38;4;4;0
QKA;35;34;1;1;0
QL;24;23;1;6;0
QLA;25;20;5;5;0
QM;32;31;1;2;0
QMA;43;40;3;2;0
QN;39;39;0;2;0
QO;33;32;1;1;0
QP;41;40;1;2;0
QQ;29;28;1;3;0
QR;23;21;2;7;0
QS;32;31;1;2;0
QT;31;30;1;3;0
QU;43;42;1;1;0
QV;27;27;0;3;0
QW;34;33;1;1;0
QX;61;55;6;3;0
QY;34;30;4;4;0
QZ;29;28;1;3;0
R;23;21;2;7;0
RA;19;10;9;7;2
RAA;38;37;1;2;0
RB;25;23;2;5;0
RBA;35;35;0;3;0
RC;33;31;2;2;0
RCA;35;34;1;1;0
RD;25;23;2;5;0
RDA;26;25;1;4;0
RE;26;26;0;4;0
REA;24;23;1;6;0
RF;27;27;0;3;0
RFA;27;25;2;3;0
RG;74;73;1;3;0
RGA;36;35;1;2;0
RH;23;18;5;7;1
RHA;29;27;2;5;0
RI;38;37;1;1;0
RIA;33;32;1;2;0
RJ;25;24;1;5;0
RJA;26;25;1;4;0
RK;38;38;0;2;0
RKA;30;29;1;4;0
RL;25;23;2;5;0
RLA;51;50;1;3;0
RM;25;22;3;5;0
RN;47;46;1;3;0
RO;41;34;7;3;0
RP;39;37;2;5;0
RQ;26;26;0;4;0
RR;29;28;1;1;0
RS;28;27;1;2;0
RT;29;29;0;1;0
RU;71;59;12;2;0
RV;19;10;9;7;2
RW;37;37;0;2;0
RX;23;21;2;7;0
RY;50;44;6;1;0
RZ;36;34;2;3;0
S;42;41;1;0;0
SA;35;35;0;1;0
SAA;32;30;2;6;0
SB;34;34;0;1;0
SBA;34;33;1;2;0
SC;27;27;0;4;0
SCA;38;36;2;0;0
SD;36;35;1;2;0
SDA;36;35;1;2;0
SE;28;28;0;2;0
SEA;28;28;0;2;0
SF;30;28;2;1;0
SFA;42;37;5;1;0
SG;23;20;3;7;0
SGA;37;32;5;3;0
SH;32;31;1;2;0
SHA;40;40;0;1;0
SI;43;43;0;2;0
SIA;26;20;6;4;0
SJ;39;38;1;1;0
SJA;32;32;0;2;0
SK;69;68;1;2;0
SKA;19;10;9;7;2
SL;38;37;1;1;0
SLA;56;56;0;2;0
SM;79;72;7;0;0
SMA;40;39;1;2;0
SN;26;25;1;4;0
SO;39;38;1;1;0
SP;19;10;9;7;2
SQ;34;32;2;6;0
SR;34;34;0;2;0
SS;33;32;1;1;0
ST;39;39;0;1;0
SU;27;26;1;3;0
SV;27;26;1;3;0
SW;43;40;3;2;0
SX;46;45;1;2;0
SY;34;34;0;1;0
SZ;26;19;7;4;0
T;27;27;0;3;0
TA;31;29;2;5;0
TAA;44;43;1;2;0
TB;27;26;1;3;0
TBA;32;32;0;2;0
TC;50;43;7;0;0
TCA;49;48;1;1;0
TD;37;32;5;3;0
TDA;28;28;0;2;0
TE;23;20;3;7;0
TEA;33;32;1;2;0
TF;43;41;2;5;0
TFA;24;21;3;6;0
TG;31;30;1;3;0
TGA;37;37;0;2;0
TH;33;31;2;2;0
THA;32;29;3;2;0
TI;50;49;1;5;0
TIA;40;38;2;5;0
TJ;37;36;1;1;0
TJA;62;61;1;2;0
TK;23;21;2;7;0
TKA;33;32;1;2;0
TL;41;41;0;2;0
TLA;26;25;1;4;0
TM;25;23;2;5;0
TMA;28;27;1;2;0
TN;56;48;8;1;0
TO;63;50;13;0;0
TP;37;36;1;2;0
TQ;37;37;0;1;0
TR;25;24;1;5;0
TS;47;46;1;3;0
TT;23;21;2;7;0
TU;48;46;2;5;0
TV;41;40;1;1;0
TW;49;48;1;1;0
TX;37;37;0;1;0
TY;19;10;9;7;2
TZ;26;26;0;4;0
U;32;30;2;6;0
UA;29;28;1;2;0
UAA;23;21;2;7;0
UB;27;27;0;3;0
UBA;37;36;1;1;0
UC;63;54;9;0;0
UCA;23;21;2;7;0
UD;66;65;1;2;0
UDA;67;63;4;2;0
UE;45;45;0;2;0
UEA;19;10;9;7;2
UF;59;52;7;1;0
UFA;26;23;3;4;0
UG;26;25;1;4;0
UGA;38;37;1;3;0
UH;19;10;9;7;2
UHA;23;21;2;7;0
UI;36;35;1;2;0
UIA;34;31;3;2;0
UJ;39;38;1;1;0
UJA;26;26;0;4;0
UK;44;43;1;3;0
UKA;40;36;4;2;0
UL;25;19;6;5;0
ULA;37;34;3;2;0
UM;28;26;2;4;0
UMA;36;33;3;2;0
UN;23;21;2;7;0
UO;25;24;1;5;0
UP;29;28;1;2;0
UQ;32;31;1;3;0
UR;36;35;1;3;0
US;37;36;1;2;0
UT;32;28;4;2;0
UU;23;18;5;5;1
UV;37;36;1;1;0
UW;35;32;3;1;0
UX;26;26;0;4;0
UY;27;21;6;3;0
UZ;31;30;1;3;0
V;45;40;5;0;0
VA;33;32;1;2;0
VAA;44;41;3;0;0
VB;33;32;1;2;0
VBA;23;20;3;7;0
VC;34;34;0;2;0
VCA;37;37;0;1;0
VD;29;22;7;2;0
VDA;33;33;0;1;0
VE;43;39;4;2;0
VEA;26;25;1;4;0
VF;33;32;1;2;0
VFA;39;38;1;2;0
VG;41;40;1;3;0
VGA;26;24;2;4;0
VH;23;21;2;7;0
VHA;23;21;2;7;0
VI;42;42;0;1;0
VIA;73;65;8;1;0
VJ;33;32;1;2;0
VJA;19;10;9;7;2
VK;46;42;4;2;0
VKA;34;34;0;3;0
VL;36;35;1;2;0
VLA;26;26;0;4;0
VM;39;37;2;3;0
VMA;19;10;9;7;2
VN;58;53;5;0;0
VO;49;46;3;1;0
VP;36;35;1;3;0
VQ;31;30;1;3;0
VR;37;34;3;2;0
VS;39;39;0;2;0
VT;38;34;4;2;0
VU;36;35;1;2;0
VV;23;21;2;7;0
VW;34;31;3;1;0
VX;23;21;2;7;0
VY;41;39;2;2;0
VZ;25;23;2;7;0
W;30;30;0;2;0
WA;25;19;6;4;1
WAA;32;30;2;2;0
WB;23;21;2;7;0
WBA;33;32;1;4;0
WC;30;28;2;1;0
WCA;45;42;3;1;0
WD;19;10;9;7;2
WDA;67;63;4;1;0
WE;39;33;6;2;0
WEA;25;23;2;5;0
WF;47;43;4;1;0
WFA;33;33;0;1;0
WG;36;35;1;2;0
WGA;70;60;10;1;0
WH;23;21;2;7;0
WHA;32;32;0;2;0
WI;28;26;2;4;0
WIA;23;20;3;7;0
WJA;43;42;1;3;0
WK;26;14;12;4;0
WKA;39;36;3;2;0
WL;29;20;9;5;0
WLA;37;35;2;4;0
WM;39;38;1;1;0
WMA;23;21;2;7;0
WN;52;51;1;2;0
WO;42;41;1;1;0
WP;38;37;1;1;0
WQ;33;32;1;1;0
WR;43;38;5;3;0
WS;24;23;1;6;0
WT;42;41;1;1;0
WU;38;33;5;2;0
WV;36;35;1;2;0
WW;40;37;3;0;0
WX;26;25;1;4;0
WY;19;10;9;7;2
WZ;53;52;1;2;0
X;34;33;1;3;0
XA;19;10;9;7;2
XAA;33;29;4;2;0
XB;28;27;1;3;0
XBA;54;45;9;0;0
XC;26;26;0;4;0
XCA;71;63;8;0;0
XD;28;26;2;2;0
XDA;24;23;1;6;0
XE;26;26;0;4;0
XEA;32;31;1;2;0
XF;31;30;1;2;0
XFA;43;38;5;2;0
XG;26;25;1;4;0
XGA;37;33;4;1;0
XH;51;50;1;2;0
XHA;32;31;1;3;0
XI;75;62;13;0;0
XIA;23;21;2;7;0
XJ;33;32;1;1;0
XJA;48;48;0;2;0
XK;24;23;1;6;0
XKA;33;33;0;1;0
XL;35;34;1;1;0
XLA;26;25;1;4;0
XM;42;41;1;1;0
XMA;19;10;9;7;2
XN;38;34;4;1;0
XO;26;26;0;4;0
XP;33;32;1;2;0
XQ;34;33;1;1;0
XR;24;17;7;6;0
XS;48;48;0;2;0
XT;43;42;1;1;0
XU;26;26;0;4;0
XV;26;23;3;4;0
XW;40;39;1;2;0
XX;31;27;4;3;0
XY;33;32;1;1;0
XZ;37;33;4;3;0
Y;26;26;0;4;0
YA;24;23;1;6;0
YAA;32;31;1;2;0
YB;37;36;1;2;0
YBA;36;35;1;2;0
YC;29;24;5;5;0
YCA;31;31;0;3;0
YD;26;25;1;4;0
YDA;33;33;0;1;0
YE;33;32;1;2;0
YEA;28;27;1;2;0
YF;60;54;6;1;0
YFA;32;32;0;2;0
YG;64;64;0;3;0
YGA;34;33;1;1;0
YH;25;23;2;5;0
YHA;40;38;2;2;0
YI;36;35;1;2;0
YIA;106;100;6;0;0
YJ;34;32;2;5;0
YJA;32;29;3;2;0
YK;41;41;0;1;0
YKA;92;91;1;1;0
YL;42;41;1;1;0
YLA;119;106;13;2;0
YM;33;31;2;1;0
YMA;30;28;2;4;0
YN;27;17;10;7;0
YO;60;59;1;2;0
YP;65;61;4;3;0
YQ;32;31;1;2;0
YR;41;41;0;2;0
YS;50;46;4;0;0
YT;40;39;1;1;0
YU;19;10;9;7;2
YV;49;49;0;1;0
YW;31;29;2;5;0
YX;148;119;29;1;0
YY;45;39;6;2;0
YZ;36;33;3;1;0
Z;28;27;1;3;0
ZA;26;26;0;4;0
ZAA;37;36;1;2;0
ZB;39;38;1;1;0
ZBA;30;27;3;2;0
ZC;28;19;9;4;0
ZCA;27;26;1;4;0
ZD;25;23;2;5;0
ZDA;40;36;4;0;0
ZE;39;38;1;3;0
ZEA;40;37;3;0;0
ZF;34;34;0;2;0
ZFA;33;32;1;1;0
ZG;27;26;1;3;0
ZGA;65;64;1;1;0
ZH;33;32;1;2;0
ZHA;54;49;5;0;0
ZI;43;43;0;2;0
ZIA;26;25;1;4;0
ZJ;39;39;0;2;0
ZJA;54;53;1;2;0
ZK;31;29;2;3;0
ZKA;38;36;2;1;0
ZL;33;33;0;1;0
ZLA;29;29;0;1;0
ZM;63;63;0;2;0
ZMA;126;111;15;2;0
ZN;23;21;2;7;0
