Name;Insertions;Deletions;Fitness
LFA;0;0;1.00
LG;0;0;1.00
LGA;2;0;0.90
LH;0;1;0.97
LHA;0;0;1.00
LI;0;0;1.00
LIA;0;0;1.00
LJ;0;0;1.00
LJA;0;0;1.00
LK;0;0;1.00
LKA;0;0;1.00
LL;0;0;1.00
LLA;0;1;0.89
LM;0;0;1.00
LMA;0;1;0.91
LN;0;0;1.00
LNA;0;1;0.80
LO;0;0;1.00
LP;0;1;0.97
LQ;0;0;1.00
LR;0;0;1.00
LS;0;0;1.00
LT;0;0;1.00
LU;0;0;1.00
LV;0;1;0.97
LW;1;0;0.97
LX;0;1;0.96
LY;0;1;0.80
LZ;1;1;0.95
M;0;1;0.80
MA;0;0;1.00
MAA;1;0;0.97
MB;0;1;0.80
MBA;0;0;1.00
MC;0;0;1.00
MCA;0;1;0.89
MD;1;0;0.97
MDA;0;1;0.96
ME;1;0;0.97
MEA;0;0;1.00
MF;0;1;0.80
MFA;1;0;0.96
MG;0;1;0.91
MGA;0;0;1.00
MH;0;1;0.89
MHA;0;0;1.00
MI;0;0;1.00
MIA;0;0;1.00
MJ;1;0;0.96
MJA;1;0;0.94
MK;0;0;1.00
MKA;0;0;1.00
ML;0;0;1.00
MLA;0;1;0.89
MM;0;1;0.97
MMA;1;0;0.94
MN;2;0;0.97
MO;1;0;0.95
MP;0;0;1.00
MQ;0;0;1.00
MR;0;0;1.00
MS;0;1;0.97
MT;1;0;0.96
MU;0;0;1.00
MV;1;0;0.97
MW;0;0;1.00
MX;0;0;1.00
MY;1;0;0.92
MZ;0;0;1.00
N;0;0;1.00
NA;0;0;1.00
NAA;0;1;0.80
NB;0;0;1.00
NBA;0;1;0.89
NC;1;0;0.93
NCA;0;1;0.97
ND;0;0;1.00
NDA;0;0;1.00
NE;0;1;0.89
NEA;0;0;1.00
NF;1;0;0.98
NFA;0;0;1.00
NG;1;0;0.92
NGA;0;0;1.00
NH;0;0;1.00
NHA;0;0;1.00
NI;1;0;0.97
NIA;0;0;1.00
NJ;1;0;0.97
NJA;0;0;1.00
NK;0;0;1.00
NKA;1;0;0.95
NL;1;0;0.92
NLA;0;1;0.89
NM;0;0;1.00
NMA;0;0;1.00
NN;1;0;0.96
NO;0;0;1.00
NP;0;0;1.00
NQ;0;1;0.89
NR;0;0;1.00
NS;1;0;0.92
NT;0;0;1.00
NU;0;0;1.00
NV;0;0;1.00
NW;0;0;1.00
NX;0;0;1.00
NY;0;0;1.00
NZ;0;0;1.00
O;0;0;1.00
OA;0;0;1.00
OAA;0;0;1.00
OB;1;0;0.97
OBA;1;0;0.96
OC;0;0;1.00
OCA;0;1;0.89
OD;0;0;1.00
ODA;0;0;1.00
OE;0;1;0.80
OEA;1;0;0.98
OF;0;1;0.80
OFA;1;0;0.93
OG;1;0;0.95
OGA;0;0;1.00
OH;0;0;1.00
OHA;1;0;0.96
OI;1;0;0.92
OIA;0;0;1.00
OJ;0;0;1.00
OJA;0;1;0.80
OK;0;0;1.00
OKA;0;0;1.00
OL;0;1;0.96
OLA;0;0;1.00
OM;0;0;1.00
OMA;0;1;0.98
ON;1;0;0.97
OO;0;0;1.00
OP;0;0;1.00
OQ;0;0;1.00
OR;0;0;1.00
OS;0;0;1.00
OT;0;0;1.00
OU;1;0;0.97
OV;1;0;0.95
OW;0;0;1.00
OX;0;0;1.00
OY;0;1;0.97
OZ;0;0;1.00
P;0;1;0.80
PA;1;0;0.92
PAA;0;0;1.00
PB;0;0;1.00
PBA;0;0;1.00
PC;0;1;0.89
PCA;1;0;0.95
PD;1;0;0.95
PDA;0;0;1.00
PE;0;0;1.00
PEA;0;0;1.00
PF;0;0;1.00
PFA;0;0;1.00
PG;0;1;0.96
PGA;0;0;1.00
PH;1;0;0.94
PHA;0;0;1.00
PI;0;0;1.00
PIA;0;0;1.00
PJ;0;0;1.00
PJA;0;0;1.00
PK;0;0;1.00
PKA;1;0;0.97
PL;0;1;0.91
PLA;0;0;1.00
PM;1;0;0.94
PMA;0;0;1.00
PN;0;2;0.80
PO;0;0;1.00
PP;0;1;0.89
PQ;0;1;0.89
PR;0;1;0.96
PS;0;0;1.00
PT;1;0;0.96
PU;1;0;0.99
PV;0;0;1.00
PW;0;0;1.00
PX;0;1;0.89
PY;0;0;1.00
PZ;1;0;0.97
Q;0;1;0.80
QA;0;0;1.00
QAA;0;0;1.00
QB;0;0;1.00
QBA;0;0;1.00
QC;0;0;1.00
QCA;0;0;1.00
QD;0;0;1.00
QDA;0;1;0.94
QE;0;0;1.00
QEA;1;0;0.93
QF;0;0;1.00
QFA;1;0;0.94
QG;0;0;1.00
QGA;0;0;1.00
QH;1;0;0.98
QHA;0;0;1.00
QI;1;0;0.95
QIA;0;0;1.00
QJ;0;0;1.00
QJA;1;0;0.95
QK;2;0;0.94
QKA;0;0;1.00
QL;1;0;0.92
QLA;2;0;0.88
QM;0;0;1.00
QMA;1;0;0.97
QN;0;0;1.00
QO;0;0;1.00
QP;0;0;1.00
QQ;0;0;1.00
QR;0;1;0.89
QS;0;0;1.00
QT;0;0;1.00
QU;0;0;1.00
QV;0;0;1.00
QW;0;0;1.00
QX;0;0;1.00
QY;0;1;0.96
QZ;0;0;1.00
R;0;1;0.89
RA;0;1;0.80
RAA;0;0;1.00
RB;0;1;0.92
RBA;0;0;1.00
RC;1;0;0.96
RCA;0;0;1.00
RD;1;0;0.93
RDA;0;0;1.00
RE;0;0;1.00
REA;1;0;0.92
RF;0;0;1.00
RFA;0;0;1.00
RG;1;0;0.99
RGA;0;0;1.00
RH;0;1;0.89
RHA;0;1;0.94
RI;0;0;1.00
RIA;0;0;1.00
RJ;0;0;1.00
RJA;0;0;1.00
RK;0;0;1.00
RKA;1;0;0.95
RL;0;1;0.92
RLA;0;0;1.00
RM;0;1;0.92
RN;1;0;0.98
RO;0;1;0.97
RP;0;1;0.96
RQ;0;0;1.00
RR;0;1;0.95
RS;0;0;1.00
RT;0;0;1.00
RU;1;0;0.99
RV;0;1;0.80
RW;0;0;1.00
RX;0;1;0.89
RY;0;1;0.98
RZ;1;0;0.97
S;0;0;1.00
SA;0;0;1.00
SAA;0;1;0.95
SB;0;0;1.00
SBA;0;0;1.00
SC;0;0;1.00
SCA;0;0;1.00
SD;1;0;0.97
SDA;0;0;1.00
SE;0;0;1.00
SEA;0;0;1.00
SF;1;0;0.96
SFA;0;1;0.97
SG;0;1;0.89
SGA;0;0;1.00
SH;0;0;1.00
SHA;0;0;1.00
SI;0;0;1.00
SIA;1;0;0.94
SJ;1;0;0.97
SJA;0;0;1.00
SK;1;0;0.98
SKA;0;1;0.80
SL;1;0;0.97
SLA;0;0;1.00
SM;0;0;1.00
SMA;1;0;0.97
SN;0;0;1.00
SO;1;0;0.97
SP;0;1;0.80
SQ;0;1;0.96
SR;0;0;1.00
SS;0;0;1.00
ST;0;0;1.00
SU;0;0;1.00
SV;0;0;1.00
SW;0;0;1.00
SX;0;0;1.00
SY;0;0;1.00
SZ;1;0;0.94
T;0;0;1.00
TA;0;1;0.95
TAA;0;0;1.00
TB;1;0;0.95
TBA;0;0;1.00
TC;0;0;1.00
TCA;0;0;1.00
TD;0;0;1.00
TDA;0;0;1.00
TE;0;1;0.89
TEA;1;0;0.96
TF;0;1;0.97
TFA;0;1;0.91
TG;0;0;1.00
TGA;0;0;1.00
TH;0;0;1.00
THA;1;0;0.96
TI;1;0;0.98
TIA;0;1;0.97
TJ;0;1;0.97
TJA;0;0;1.00
TK;0;1;0.89
TKA;0;0;1.00
TL;0;0;1.00
TLA;0;0;1.00
TM;1;0;0.93
TMA;0;0;1.00
TN;0;0;1.00
TO;0;0;1.00
TP;0;0;1.00
TQ;0;0;1.00
TR;1;0;0.94
TS;0;0;1.00
TT;0;1;0.89
TU;0;1;0.97
TV;0;0;1.00
TW;0;0;1.00
TX;0;0;1.00
TY;0;1;0.80
TZ;0;0;1.00
U;0;1;0.95
UA;0;0;1.00
UAA;0;1;0.89
UB;0;0;1.00
UBA;0;0;1.00
UC;0;0;1.00
UCA;0;1;0.89
UD;0;0;1.00
UDA;1;0;0.98
UE;0;0;1.00
UEA;0;1;0.80
UF;0;0;1.00
UFA;1;0;0.94
UG;0;0;1.00
UGA;0;0;1.00
UH;0;1;0.80
UHA;0;1;0.89
UI;0;0;1.00
UIA;1;0;0.96
UJ;0;0;1.00
UJA;0;0;1.00
UK;1;0;0.97
UKA;0;0;1.00
UL;1;0;0.93
ULA;1;0;0.97
UM;1;0;0.95
UMA;1;0;0.97
UN;0;1;0.89
UO;1;0;0.93
UP;0;0;1.00
UQ;1;0;0.96
UR;0;0;1.00
US;0;0;1.00
UT;1;0;0.96
UU;0;1;0.91
UV;0;0;1.00
UW;0;1;0.96
UX;0;0;1.00
UY;1;0;0.95
UZ;0;0;1.00
V;0;0;1.00
VA;0;0;1.00
VAA;0;0;1.00
VB;0;0;1.00
VBA;0;1;0.89
VC;0;0;1.00
VCA;0;0;1.00
VD;1;0;0.96
VDA;0;0;1.00
VE;0;0;1.00
VEA;0;0;1.00
VF;0;0;1.00
VFA;0;0;1.00
VG;1;0;0.97
VGA;1;0;0.94
VH;0;1;0.89
VHA;0;1;0.89
VI;0;0;1.00
VIA;0;0;1.00
VJ;0;0;1.00
VJA;0;1;0.80
VK;1;0;0.98
VKA;0;0;1.00
VL;0;0;1.00
VLA;0;0;1.00
VM;1;0;0.97
VMA;0;1;0.80
VN;0;0;1.00
VO;0;0;1.00
VP;1;0;0.97
VQ;0;0;1.00
VR;1;0;0.97
VS;0;0;1.00
VT;0;0;1.00
VU;0;0;1.00
VV;0;1;0.89
VW;1;0;0.97
VX;0;1;0.89
VY;1;0;0.97
VZ;0;1;0.91
W;0;0;1.00
WA;0;1;0.93
WAA;0;0;1.00
WB;0;1;0.89
WBA;1;0;0.96
WC;0;1;0.96
WCA;0;0;1.00
WD;0;1;0.80
WDA;0;1;0.98
WE;1;0;0.97
WEA;1;0;0.93
WF;0;0;1.00
WFA;0;0;1.00
WG;0;0;1.00
WGA;0;0;1.00
WH;0;1;0.89
WHA;0;0;1.00
WI;0;1;0.94
WIA;0;1;0.89
WJA;0;1;0.97
WK;2;0;0.89
WKA;0;0;1.00
WL;1;1;0.89
WLA;0;1;0.96
WM;0;0;1.00
WMA;0;1;0.89
WN;0;0;1.00
WO;0;1;0.97
WP;0;0;1.00
WQ;0;0;1.00
WR;2;0;0.95
WS;1;0;0.92
WT;1;0;0.97
WU;0;0;1.00
WV;0;0;1.00
WW;0;0;1.00
WX;0;0;1.00
WY;0;1;0.80
WZ;0;0;1.00
X;1;0;0.96
XA;0;1;0.80
XAA;0;1;0.96
XB;0;0;1.00
XBA;0;0;1.00
XC;0;0;1.00
XCA;0;0;1.00
XD;0;0;1.00
XDA;1;0;0.92
XE;0;0;1.00
XEA;0;0;1.00
XF;0;0;1.00
XFA;1;0;0.97
XG;0;0;1.00
XGA;1;0;0.97
XH;0;0;1.00
XHA;0;0;1.00
XI;0;0;1.00
XIA;0;1;0.89
XJ;0;0;1.00
XJA;0;0;1.00
XK;1;0;0.92
XKA;0;0;1.00
XL;0;0;1.00
XLA;0;0;1.00
XM;0;0;1.00
XMA;0;1;0.80
XN;1;0;0.97
XO;0;0;1.00
XP;0;0;1.00
XQ;0;0;1.00
XR;1;0;0.92
XS;0;0;1.00
XT;1;0;0.97
XU;0;0;1.00
XV;1;0;0.94
XW;0;0;1.00
XX;1;0;0.96
XY;0;0;1.00
XZ;0;1;0.97
Y;0;0;1.00
YA;1;0;0.92
YAA;0;0;1.00
YB;0;0;1.00
YBA;0;0;1.00
YC;2;0;0.90
YCA;0;0;1.00
YD;0;0;1.00
YDA;0;0;1.00
YE;0;0;1.00
YEA;0;0;1.00
YF;0;0;1.00
YFA;0;0;1.00
YG;0;0;1.00
YGA;0;0;1.00
YH;0;1;0.92
YHA;1;0;0.97
YI;0;0;1.00
YIA;0;0;1.00
YJ;0;1;0.96
YJA;1;0;0.96
YK;0;0;1.00
YKA;0;0;1.00
YL;0;0;1.00
YLA;1;0;0.99
YM;0;0;1.00
YMA;0;1;0.95
YN;1;1;0.86
YO;0;0;1.00
YP;0;0;1.00
YQ;0;0;1.00
YR;0;0;1.00
YS;0;0;1.00
YT;1;0;0.97
YU;0;1;0.80
YV;0;0;1.00
YW;0;1;0.95
YX;0;0;1.00
YY;0;0;1.00
YZ;1;0;0.97
Z;1;0;0.95
ZA;0;0;1.00
ZAA;0;0;1.00
ZB;0;0;1.00
ZBA;1;0;0.96
ZC;0;0;1.00
ZCA;0;0;1.00
ZD;0;1;0.92
ZDA;0;0;1.00
ZE;0;0;1.00
ZEA;0;0;1.00
ZF;0;0;1.00
ZFA;0;0;1.00
ZG;0;0;1.00
ZGA;0;0;1.00
ZH;0;0;1.00
ZHA;0;0;1.00
ZI;0;0;1.00
ZIA;0;0;1.00
ZJ;0;0;1.00
ZJA;0;0;1.00
ZK;1;0;0.96
ZKA;0;0;1.00
ZL;0;0;1.00
ZLA;0;0;1.00
ZM;0;0;1.00
ZMA;0;1;0.99
ZN;0;1;0.89
ZO;0;0;1.00
ZP;0;1;0.96
ZQ;0;0;1.00
ZR;0;0;1.00
ZS;0;0;1.00
ZT;0;0;1.00
ZU;0;0;1.00
ZV;0;0;1.00
ZW;0;0;1.00
ZX;0;0;1.00
ZY;0;0;1.00
ZZ;0;0;1.00
